Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-09 08:46:31')
***CTU1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.46245989692397416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0036863386631012e-05, model_test_time: 0.4624498600605875
Total test time: 0.47101456485688686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3591721653938293e-05, model_test_time: 0.4710009731352329
***3_th repeat
Total test time: 0.4893053350970149 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1333031579852104e-05, model_test_time: 0.48929400206543505
Total test time: 0.47724550357088447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4018267393112183e-05, model_test_time: 0.47723148530349135
Total test time: 0.5186326818075031 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0554911568760872e-05, model_test_time: 0.5186221268959343
Total test time: 0.4789580029901117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4241086319088936e-05, model_test_time: 0.4789437619037926
Total test time: 0.51942407223396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0055257007479668e-05, model_test_time: 0.5194140169769526
Total test time: 0.5351769167464226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3906974345445633e-05, model_test_time: 0.5351630097720772
Total test time: 0.5195791237056255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0424759238958359e-05, model_test_time: 0.5195686989463866
Total test time: 0.4863025301601738 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5110243111848831e-05, model_test_time: 0.4862874199170619
Total test time: 0.5035288990475237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.758863598108292e-06, model_test_time: 0.5035191401839256
Total test time: 0.4738385225646198 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0316260159015656e-05, model_test_time: 0.47382820630446076
Total test time: 0.4905349381733686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3702083379030228e-05, model_test_time: 0.49052123608998954
Total test time: 0.4525818731635809 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4944933354854584e-05, model_test_time: 0.45256692823022604
Total test time: 0.47972733923234046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.427624374628067e-05, model_test_time: 0.4797130629885942
Total test time: 0.47013373393565416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0907882824540138e-05, model_test_time: 0.4701228260528296
Total test time: 0.5001046764664352 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0684598237276077e-05, model_test_time: 0.5000939918681979
Total test time: 0.49402666091918945 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3981945812702179e-05, model_test_time: 0.49401267897337675
Total test time: 0.45408098702318966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0905787348747253e-05, model_test_time: 0.4540700812358409
Total test time: 0.491522696102038 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3869022950530052e-05, model_test_time: 0.4915088270790875
Total test time: 0.4496635098475963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5851110219955444e-05, model_test_time: 0.44964765873737633
