Namespace(dataset='AECHO1_2020', feat='stats', gs='True', header='True', model='OCSVM(rbf)', time='2021-04-09 10:07:32')
***AECHO1_2020, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.5362638281658292 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4537246897816658e-05, model_test_time: 0.5362492909189314
Total test time: 0.44802509318105876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4017103239893913e-05, model_test_time: 0.44801107607781887
Total test time: 0.4971499443054199 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5038298442959785e-05, model_test_time: 0.49713490600697696
Total test time: 0.5221889317035675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3573793694376945e-05, model_test_time: 0.5221753579098731
Total test time: 0.5016454050783068 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1501135304570198e-05, model_test_time: 0.5016339039430022
Total test time: 0.4817694507073611 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.040683127939701e-05, model_test_time: 0.4817590438760817
Total test time: 0.5170399539638311 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5184981748461723e-05, model_test_time: 0.5170247689820826
Total test time: 0.47722399374470115 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0758871212601662e-05, model_test_time: 0.47721323487348855
Total test time: 0.4963478911668062 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.288600318133831e-05, model_test_time: 0.4962750051636249
Total test time: 0.5392799600958824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5222234651446342e-05, model_test_time: 0.539264737861231
Total test time: 0.49503700202330947 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5240861102938652e-05, model_test_time: 0.49502176116220653
Total test time: 0.5561998400371522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4333054423332214e-05, model_test_time: 0.5561855069827288
