Namespace(dataset='UNB345_3', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-09 08:23:54')
***UNB345_3, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.41186733823269606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1536059901118279e-05, model_test_time: 0.41185580217279494
Total test time: 0.4110283392947167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0852469131350517e-05, model_test_time: 0.41101748682558537
Total test time: 0.38043680088594556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0167015716433525e-05, model_test_time: 0.3804266338702291
Total test time: 0.41927899699658155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0721851140260696e-05, model_test_time: 0.4192682751454413
Total test time: 0.4129352970048785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.031416468322277e-05, model_test_time: 0.4129249828401953
Total test time: 0.4136719857342541 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.133279874920845e-05, model_test_time: 0.4136606529355049
Total test time: 0.3798600558657199 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1185882613062859e-05, model_test_time: 0.37984886998310685
Total test time: 0.4151494540274143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1035939678549767e-05, model_test_time: 0.41513841808773577
Total test time: 0.4428113510366529 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1037103831768036e-05, model_test_time: 0.44280031393282115
Total test time: 0.41239543887786567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1221971362829208e-05, model_test_time: 0.41238421690650284
Total test time: 0.4110786160454154 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0333023965358734e-05, model_test_time: 0.41106828302145004
Total test time: 0.41206024191342294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1018011718988419e-05, model_test_time: 0.41204922390170395
Total test time: 0.3808286818675697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0370975360274315e-05, model_test_time: 0.3808183108922094
Total test time: 0.412681951187551 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.044408418238163e-05, model_test_time: 0.41267150710336864
Total test time: 0.4106387172359973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.044408418238163e-05, model_test_time: 0.41062827315181494
Total test time: 0.3805252790916711 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1072959750890732e-05, model_test_time: 0.3805142061319202
Total test time: 0.3808213302399963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0277144610881805e-05, model_test_time: 0.38081105309538543
Total test time: 0.41325838305056095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0870164260268211e-05, model_test_time: 0.4132475128863007
***4_th repeat
Total test time: 0.38212085817940533 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1111143976449966e-05, model_test_time: 0.3821097470354289
Total test time: 0.41278552380390465 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0907882824540138e-05, model_test_time: 0.4127746159210801
Total test time: 0.41391622251830995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0945368558168411e-05, model_test_time: 0.4139052771497518
Total test time: 0.4102735409978777 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0075047612190247e-05, model_test_time: 0.4102634659502655
Total test time: 0.4462749622762203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0999152436852455e-05, model_test_time: 0.44626396312378347
Total test time: 0.4134344537742436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0481802746653557e-05, model_test_time: 0.41342397197149694
Total test time: 0.41082771215587854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0443152859807014e-05, model_test_time: 0.41081726900301874
Total test time: 0.38237894512712955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0241055861115456e-05, model_test_time: 0.38236870407126844
Total test time: 0.41082969517447054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1315103620290756e-05, model_test_time: 0.41081838007085025
Total test time: 0.3805585016962141 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0629883036017418e-05, model_test_time: 0.38054787181317806
Total test time: 0.4120691870339215 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1001015082001686e-05, model_test_time: 0.4120581860188395
Total test time: 0.415722498903051 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0555842891335487e-05, model_test_time: 0.4157119430601597
Total test time: 0.4137117809150368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0573072358965874e-05, model_test_time: 0.41370120784267783
Total test time: 0.4133060679305345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0388903319835663e-05, model_test_time: 0.41329567902721465
Total test time: 0.44537640805356205 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0352116078138351e-05, model_test_time: 0.4453660559374839
Total test time: 0.410711454693228 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1146767064929008e-05, model_test_time: 0.4107003079261631
Total test time: 0.4119678004644811 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.648501873016357e-06, model_test_time: 0.4119581519626081
Total test time: 0.3807333121076226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.092604361474514e-05, model_test_time: 0.3807223860640079
Total test time: 0.4450854326132685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1166790500283241e-05, model_test_time: 0.4450742658227682
Total test time: 0.4160109192598611 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0629184544086456e-05, model_test_time: 0.416000290075317
speedup/out/models_res/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None/UNB345_3-OCSVM(rbf).dat
