Namespace(dataset='MACCDC1', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-09 09:33:50')
***MACCDC1, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.5074615457560867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.409091055393219e-05, model_test_time: 0.5074474548455328
Total test time: 0.4864456842187792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0223127901554108e-05, model_test_time: 0.48643546109087765
Total test time: 0.538164408877492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4239922165870667e-05, model_test_time: 0.5381501689553261
Total test time: 0.4632804016582668 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.057400368154049e-05, model_test_time: 0.46326982765458524
Total test time: 0.4970761777367443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5073921531438828e-05, model_test_time: 0.49706110381521285
Total test time: 0.5403073439374566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.477682963013649e-05, model_test_time: 0.5402925671078265
Total test time: 0.5397998550906777 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4481134712696075e-05, model_test_time: 0.539785373955965
Total test time: 0.5161551591008902 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.485203392803669e-05, model_test_time: 0.5161403070669621
Total test time: 0.4959171100053936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5129102393984795e-05, model_test_time: 0.49590198090299964
Total test time: 0.5382672396954149 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5239929780364037e-05, model_test_time: 0.5382519997656345
Total test time: 0.45707747992128134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4629913493990898e-05, model_test_time: 0.45706285000778735
Total test time: 0.4696098768617958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0814052075147629e-05, model_test_time: 0.46959906280972064
Total test time: 0.4852678917814046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0293908417224884e-05, model_test_time: 0.4852575978729874
Total test time: 0.5387763578910381 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.425878144800663e-05, model_test_time: 0.53876209910959
Total test time: 0.5049676375929266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5109777450561523e-05, model_test_time: 0.5049525278154761
Total test time: 0.5046579593326896 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1462252587080002e-05, model_test_time: 0.5046464970801026
Total test time: 0.46285261609591544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1092983186244965e-05, model_test_time: 0.4628415231127292
Total test time: 0.5007023578509688 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5331897884607315e-05, model_test_time: 0.5006870259530842
Total test time: 0.5377249736338854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4592893421649933e-05, model_test_time: 0.5377103807404637
Total test time: 0.4589390531182289 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3797078281641006e-05, model_test_time: 0.45892525603994727
speedup/out/models_res/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None/MACCDC1-OCSVM(rbf).dat
