UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25 +/- 0.13,0,0,0,0.06 +/- 0.00,0.88 +/- 0.02,0.65 +/- 0.01,0.34 +/- 0.01,0.28 +/- 0.01,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.48 +/- 0.10,0,0,0,13.76 +/- 0.03,11.25 +/- 0.02,11.18 +/- 0.02,12.01 +/- 0.03,11.81 +/- 0.02,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90 +/- 0.02,0,0,0,1.06 +/- 0.01,1.08 +/- 0.00,1.08 +/- 0.01,1.07 +/- 0.01,1.07 +/- 0.01,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.81 +/- 0.34,0,0,0,3.57 +/- 0.00,11.89 +/- 0.01,11.82 +/- 0.01,12.24 +/- 0.01,12.18 +/- 0.01,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train_size_5000,,,,,,,,,,,,,,,,,
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.99 +/- 4.09,0,0,0,0.25 +/- 0.02,6.43 +/- 0.40,6.52 +/- 0.40,1.78 +/- 0.11,2.20 +/- 0.14,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.06 +/- 0.06,0,0,0,19.87 +/- 0.02,18.53 +/- 0.02,18.98 +/- 0.02,19.63 +/- 0.02,19.75 +/- 0.02,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90 +/- 0.02,0,0,0,1.07 +/- 0.00,1.07 +/- 0.01,1.08 +/- 0.00,1.06 +/- 0.01,1.08 +/- 0.00,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721.81 +/- 0.34,0,0,0,5.09 +/- 0.00,19.62 +/- 0.01,19.78 +/- 0.01,20.34 +/- 0.01,20.33 +/- 0.01,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train_size_8000,,,,,,,,,,,,,,,,,
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.94 +/- 3.07,0,0,0,12.95 +/- 0.80,2.44 +/- 0.15,2.64 +/- 0.16,1.17 +/- 0.07,0.99 +/- 0.06,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.29 +/- 0.19,0,0,0,36.88 +/- 0.06,29.89 +/- 0.05,30.57 +/- 0.05,31.90 +/- 0.05,31.81 +/- 0.05,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89 +/- 0.00,0,0,0,1.08 +/- 0.01,1.08 +/- 0.01,1.09 +/- 0.00,1.07 +/- 0.01,1.09 +/- 0.00,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153.87 +/- 0.26,0,0,0,9.50 +/- 0.00,31.54 +/- 0.01,31.87 +/- 0.01,32.69 +/- 0.01,32.49 +/- 0.01,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train_size_10000,,,,,,,,,,,,,,,,,
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.39 +/- 62.70,0,0,0,37.89 +/- 9.97,7.18 +/- 1.89,5.21 +/- 1.37,2.28 +/- 0.60,2.79 +/- 0.74,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.56 +/- 0.27,0,0,0,34.54 +/- 0.06,36.88 +/- 0.07,37.81 +/- 0.07,39.76 +/- 0.07,39.72 +/- 0.07,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90 +/- 0.00,0,0,0,1.08 +/- 0.01,1.08 +/- 0.00,1.09 +/- 0.00,1.07 +/- 0.00,1.09 +/- 0.01,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441.75 +/- 0.14,0,0,0,8.69 +/- 0.00,39.20 +/- 0.00,39.50 +/- 0.00,40.73 +/- 0.00,40.66 +/- 0.00,0,0,0,0,0,0,0,0,0
