MACCDC1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.8556+/-0.0116,train_time: 0.00000+/-0.00000,test_time: 0.04741+/-0.00151), => aucs:0.8586166666666667-0.8571055555555557-0.8707722222222222-0.834961111111111-0.8564722222222224, train_times:0-0-0-0-0, test_times:0.04867537803947926-0.04856142122298479-0.04584962148219347-0.045283731818199155-0.04867108473554253, n_comp: -, -, space_sizes: |model_spaces: 522.666-522.042-522.042-520.586-522.25,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.8368+/-0.0768,train_time: 0.00000+/-0.00000,test_time: 0.00603+/-0.00531), => aucs:0.771738888888889-0.9005722222222223-0.8930722222222223-0.90015-0.7183500000000003, train_times:0-0-0-0-0, test_times:0.00345587357878685-0.0036300575360655785-0.016658707335591317-0.0032590989023447035-0.0031701241619884967, n_comp: -, -, space_sizes: |model_spaces: 145.341-144.861-145.821-145.101-144.861,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.8757+/-0.0216,train_time: 0.00000+/-0.00000,test_time: 0.00383+/-0.00108), => aucs:0.8986500000000002-0.836427777777778-0.8913611111111109-0.8735722222222224-0.8783833333333332, train_times:0-0-0-0-0, test_times:0.003455976489931345-0.003267783671617508-0.0032242301851511-0.005980137642472983-0.0032339470461010935, n_comp: -, -, space_sizes: |model_spaces: 144.921-144.873-144.921-145.017-144.921,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.9212+/-0.0269,train_time: 0.00000+/-0.00000,test_time: 0.00267+/-0.00032), => aucs:0.9286833333333332-0.8996055555555558-0.9672833333333335-0.8901833333333332-0.9200166666666666, train_times:0-0-0-0-0, test_times:0.0028801504522562027-0.002409370243549347-0.002831289358437061-0.002181085105985403-0.003040529787540436, n_comp: -, -, space_sizes: |model_spaces: 28.667-26.683-28.667-25.688-29.659,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.9246+/-0.0165,train_time: 0.00000+/-0.00000,test_time: 0.00269+/-0.00009), => aucs:0.9144166666666667-0.9487277777777775-0.9396944444444445-0.906616666666667-0.913538888888889, train_times:0-0-0-0-0, test_times:0.0025920153595507143-0.0026374107226729395-0.0028340081684291364-0.0026488752104341985-0.002740434184670448, n_comp: -, -, space_sizes: |model_spaces: 27.191-27.687-28.679-27.687-28.183,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
MACCDC1|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
MACCDC1|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.8611+/-0.0200,train_time: 0.00000+/-0.00000,test_time: 0.00265+/-0.00028), => aucs:0.8609833333333334-0.8346055555555555-0.8835055555555555-0.8433388888888889-0.8828833333333334, train_times:0-0-0-0-0, test_times:0.0028703565709292888-0.002510787546634674-0.002509478386491537-0.0023097475059330463-0.003070775792002678, n_comp: -, -, space_sizes: |model_spaces: 26.931-26.931-26.931-26.184-27.675,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.8918+/-0.0348,train_time: 0.00000+/-0.00000,test_time: 0.00247+/-0.00003), => aucs:0.9330944444444441-0.8621277777777779-0.8663166666666665-0.8618611111111111-0.9356277777777778, train_times:0-0-0-0-0, test_times:0.002482833992689848-0.002501247264444828-0.002484887093305588-0.00247531533241272-0.0024134641513228416, n_comp: -, -, space_sizes: |model_spaces: 26.447-26.695-26.695-26.695-26.447,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.9293+/-0.0048,train_time: 0.00000+/-0.00000,test_time: 0.04581+/-0.00598), => aucs:0.9354222222222222-0.9337222222222221-0.9247055555555554-0.9232555555555557-0.9296111111111112, train_times:0-0-0-0-0, test_times:0.04167978689074516-0.041564073599874976-0.04736028788611293-0.05691298274323344-0.041536097135394814, n_comp: -, -, space_sizes: |model_spaces: 481.546-481.738-480.97-481.162-481.738,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
