MACCDC1,IAT+SIZE,header_False,GMM(diag),tuning_True,IAT+SIZE,header_False,GMM(diag),tuning_True,10000|1250|5000,25,16.52052|3.21242,0.00000|0.00000,0.03419|0.01650,0.92503|0.01670,0.04569|0.00090,0.91903|0.01022
MACCDC1,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,10000|1250|5000,25,12.68466|2.41447,0.00000|0.00000,0.03122|0.00491,0.92515|0.01144,0.06474|0.00484,0.91617|0.01176
MACCDC1,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,10000|1250|5000,25,13.36437|0.82913,0.00000|0.00000,0.03709|0.00396,0.89320|0.01402,0.08116|0.01102,0.87845|0.01129
MACCDC1,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,10000|1250|5000,25,10.31150|0.94885,0.00000|0.00000,0.03585|0.00064,0.92376|0.02476,0.05347|0.00593,0.90686|0.02235
MACCDC1,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,10000|1250|5000,25,9.97154|1.30286,0.00000|0.00000,0.03507|0.00092,0.89993|0.01181,0.06910|0.02095,0.88307|0.00945
MACCDC1,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,10000|1250|5000,25,26.08953|0.68279,0.00000|0.00000,0.03495|0.00409,0.87319|0.02192,0.05586|0.00415,0.87006|0.00955
MACCDC1,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,10000|1250|5000,25,26.22975|0.71823,0.00000|0.00000,0.03763|0.00283,0.86523|0.02148,0.07354|0.01713,0.85570|0.01897
MACCDC1,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,10000|1250|5000,25,13.87877|0.22501,0.00000|0.00000,0.02590|0.00620,0.90862|0.02448,0.04216|0.00288,0.89876|0.01281
MACCDC1,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,10000|1250|5000,25,14.25058|0.42356,0.00000|0.00000,0.02552|0.00592,0.87962|0.02729,0.05644|0.01076,0.86469|0.01895
AECHO1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,10000|280|1120,35,11.80663|2.61316,0.00000|0.00000,0.04337|0.00317,0.89016|0.01775,0.14008|0.02774,0.89561|0.00140
AECHO1_2020,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,10000|280|1120,35,7.18818|1.52153,0.00000|0.00000,0.00919|0.00579,0.72381|0.04618,0.02934|0.00386,0.72770|0.02151
AECHO1_2020,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,10000|280|1120,35,7.09585|0.84773,0.00000|0.00000,0.01989|0.01498,0.77076|0.03744,0.03020|0.02480,0.77935|0.00667
AECHO1_2020,IAT+SIZE,header_False,GMM(full),tuning_True,IAT+SIZE,header_False,GMM(full),tuning_True,10000|280|1120,35,1.46761|0.46876,0.00000|0.00000,0.00329|0.00067,0.98586|0.00889,0.01690|0.01264,0.96679|0.00714
AECHO1_2020,IAT+SIZE,header_False,GMM(diag),tuning_True,IAT+SIZE,header_False,GMM(diag),tuning_True,10000|280|1120,35,0.18386|0.25749,0.00000|0.00000,0.00116|0.00063,0.86858|0.01915,0.00221|0.00230,0.84420|0.01498
AECHO1_2020,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,10000|280|1120,35,5.56623|1.94111,0.00000|0.00000,0.00839|0.00803,0.99077|0.00378,0.00864|0.00126,0.97067|0.00246
AECHO1_2020,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,10000|280|1120,35,3.90758|0.36401,0.00000|0.00000,0.00407|0.00440,0.97586|0.00395,0.01103|0.00876,0.95745|0.00729
AECHO1_2020,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,10000|280|1120,35,4.09968|0.36528,0.00000|0.00000,0.00283|0.00081,0.98884|0.00190,0.00620|0.00093,0.97381|0.00381
AECHO1_2020,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,10000|280|1120,35,5.33461|1.43538,0.00000|0.00000,0.00184|0.00016,0.98652|0.00281,0.00487|0.00082,0.97143|0.00677
AECHO1_2020,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,10000|280|1120,35,12.09524|1.19838,0.00000|0.00000,0.00353|0.00218,0.98181|0.00854,0.00714|0.00115,0.95964|0.00302
AECHO1_2020,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,10000|280|1120,35,11.97493|1.21466,0.00000|0.00000,0.00506|0.00570,0.96274|0.00818,0.00806|0.00284,0.94597|0.00569
AECHO1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,10000|280|1120,35,13.70424|1.60493,0.00000|0.00000,0.01089|0.00600,0.98539|0.00353,0.00804|0.00267,0.97612|0.00535
AECHO1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,10000|280|1120,35,14.61846|2.59047,0.00000|0.00000,0.00419|0.00215,0.97693|0.00710,0.01660|0.01303,0.96192|0.00630
DWSHR_AECHO_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,10000|508|2032,29,10.49394|2.11749,0.00000|0.00000,0.09121|0.01477,0.93766|0.00480,0.25222|0.08618,0.92878|0.00097
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,10000|508|2032,29,10.99627|1.65427,0.00000|0.00000,0.02303|0.01445,0.78462|0.02666,0.03875|0.01146,0.77873|0.01991
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,10000|508|2032,29,10.84551|1.70661,0.00000|0.00000,0.04743|0.01430,0.85211|0.00617,0.07246|0.00419,0.84626|0.00665
DWSHR_AECHO_2020,IAT+SIZE,header_False,GMM(full),tuning_True,IAT+SIZE,header_False,GMM(full),tuning_True,10000|508|2032,29,19.08774|7.28640,0.00000|0.00000,0.14775|0.05602,0.92438|0.00686,0.13053|0.05481,0.90968|0.00544
DWSHR_AECHO_2020,IAT+SIZE,header_False,GMM(diag),tuning_True,IAT+SIZE,header_False,GMM(diag),tuning_True,10000|508|2032,29,10.98168|2.32704,0.00000|0.00000,0.01053|0.01213,0.91275|0.00370,0.03014|0.00156,0.89238|0.00392
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,10000|508|2032,29,12.91310|3.18456,0.00000|0.00000,0.01533|0.00392,0.93345|0.00752,0.05182|0.01024,0.92161|0.00412
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,10000|508|2032,29,12.24768|1.72705,0.00000|0.00000,0.02220|0.00017,0.91954|0.00639,0.03798|0.00225,0.90835|0.00519
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,10000|508|2032,29,14.27042|1.79120,0.00000|0.00000,0.01377|0.00111,0.92791|0.00611,0.04303|0.00320,0.91922|0.00799
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,10000|508|2032,29,12.37233|3.34343,0.00000|0.00000,0.02253|0.00572,0.92522|0.00464,0.03671|0.00033,0.91626|0.00864
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,10000|508|2032,29,24.98472|0.91655,0.00000|0.00000,0.02039|0.00506,0.93124|0.00657,0.03894|0.00038,0.92307|0.00346
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,10000|508|2032,29,25.60547|1.55964,0.00000|0.00000,0.02437|0.00399,0.91069|0.01013,0.03612|0.00044,0.90287|0.00660
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,10000|508|2032,29,26.70326|1.24854,0.00000|0.00000,0.02147|0.00369,0.92110|0.00347,0.03784|0.00058,0.91288|0.00695
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,10000|508|2032,29,24.65949|0.91563,0.00000|0.00000,0.02229|0.00022,0.91801|0.00385,0.03597|0.00022,0.90927|0.00496
