UNB3_345,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_False,0|0|1854,43,6.94580243807286-7.2333284597843885-6.65518675558269-7.190165642648935-6.561886944808066,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.08929087572731077-0.08720260080881417-0.08911552750505507-0.08893163093365729-0.0899327125865966,0.9509931586156175-0.8754790074581444-0.9296451068217182-0.9122961054497171-0.9196762823086385,40.892-40.892-40.892-40.892-40.892
UNB3_345,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,0|0|1854,43,7.126019322313368-6.346764684654772-7.178526815958321-7.161134536378086-6.492522804997861,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.08989820785820485-0.08153729070909321-0.08905483117327094-0.08987193502485752-0.08973781811073422,0.9509931586156175-0.8961288400600931-0.9296451068217182-0.9122961054497171-0.9196762823086385,40.892-40.188-40.892-40.892-40.892
CTU1,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,0|0|5000,23,7.989751165732741-8.202042856253684-8.591730958782136-8.00486787315458-7.944398575462401,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,6.201424790192395-6.220212871003896-6.231175153413788-6.18410240332596-6.192323512872681,0.5544367999999997-0.5597992000000002-0.5649472-0.5840561600000002-0.5734262400000001,961.289-961.673-961.289-961.673-961.097
CTU1,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,0|0|5000,23,7.885112816467881-7.7918311366811395-8.050545160658658-7.573834881186485-7.6352651454508305,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,5.716848831446842-5.750786882527173-6.313951157405972-5.760296137779951-6.006577358050272,0.6503627199999997-0.6498302399999999-0.6954893599999998-0.6548403200000001-0.6518974399999999,961.289-961.097-963.017-961.097-961.097
CTU1,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_False,0|0|5000,23,4.312620272859931-4.397199687547982-4.900462337769568-4.880142740905285-4.550556846894324,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.6427970231790096-0.6787206591200083-0.6870003558602185-0.6969968947768211-0.6996096444968134,0.45472304-0.4560721599999997-0.4377043200000001-0.4522056-0.46604912000000004,263.281-263.281-263.329-263.281-263.329
CTU1,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,0|0|5000,23,5.710225339047611-3.657052742317319-6.267574874684215-3.6668468918651342-4.610363089479506,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.7087968956679106-0.7147706603072583-0.7109195240680128-0.7158064809348434-0.7149818297475576,0.5035164800000002-0.5948435199999997-0.51547032-0.4545774399999999-0.46604912000000004,263.473-263.281-263.473-263.281-263.329
CTU1,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_False,0|0|5000,23,4.506973844021559-4.5329961543902755-4.600369771942496-4.582001185044646-4.603897141292691,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.7151791891362518-0.7136285336781293-0.7195531023666263-0.7167916643898934-0.7161724238656462,0.42296256-0.4476816000000002-0.45016447999999976-0.4280670400000002-0.3725497599999999,263.489-263.345-263.441-263.441-263.345
CTU1,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,0|0|5000,23,5.055781119503081-4.424938406795263-4.527002347633243-4.48416603077203-4.7856155056506395,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.7046521136816591-0.7043003982491791-0.7057836944889277-0.7044538109563291-0.7072447093948722,0.6537291199999996-0.6536592000000002-0.6520959999999999-0.6511291200000001-0.65731536,263.393-263.345-263.393-263.441-263.489
CTU1,IAT+SIZE,header_False,KJL-GMM(full),tuning_False,0|0|5000,23,2.8444388629868627-2.7041783398017287-3.1189308259636164-2.958384449593723-2.730909312143922,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.19775273543782532-0.19805865469388664-0.19863312792032958-0.1972599140740931-0.19680408879183234,0.3862904-0.35090624-0.4293907200000001-0.37167855999999994-0.41304639999999987,23.357-23.357-23.357-23.357-23.357
CTU1,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,0|0|5000,23,3.0372930616140366-3.2481989357620478-3.3616642775014043-3.2760361609980464-3.030586595647037,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.26070303451269866-0.24591198234818876-0.25256531408056615-0.2709446154441684-0.2651391308102757,0.7468611999999998-0.7642792000000002-0.7565211200000002-0.7716441599999997-0.70248592,27.579-26.587-27.083-28.075-27.579
