,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
DWSHR_AECHO_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,0|0|2032,29,1.2339457189664245-3.855401009786874-4.891176259610802-1.873545294860378-1.8576321173459291,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.10427367010619491-0.09841741632437334-0.10680965973297134-0.12684111964190378-0.14285456832963972,0.8746599680699363-0.8779265996031994-0.8833467666935333-0.8957894165788332-0.8714349928699856,481.673-481.433-481.433-481.433-481.433
DWSHR_AECHO_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,0|0|2032,29,1.2698929803445935-1.1936644029337913-0.9918698009569198-1.169753032270819-1.0347129027359188,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.11854871787596494-0.13104200628818943-0.1361910179350525-0.13180027650203555-0.11399126552045345,0.9287143886787771-0.9257165858081716-0.9269076663153328-0.9288219201438404-0.9284504037758076,482.633-482.153-482.393-482.153-482.393
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
DWSHR_AECHO_2020,IAT+SIZE,header_False,KDE,tuning_False,0|0|2032,29,0.015077739022672176-0.012593850027769804-0.012570424936711788-0.011400480754673481-0.008228585822507739,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,1.2748298616171814-1.2225286819040775-1.2169055036944336-1.2766775006311946-1.4265114987944252,0.811599060698121-0.8119720301940603-0.8118383424266846-0.8128259850269705-0.8110967628185256,1024.084-1024.084-1024.084-1024.084-1024.084
DWSHR_AECHO_2020,IAT+SIZE,header_False,KDE,tuning_True,0|0|2032,29,0.013317974051460624-0.009856851072981954-0.01015885779634118-0.012167016277089715-0.019856086932122707,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.7117328138439916-0.7520243701594882-0.8967374479677528-0.9819846343109384-0.7937820724071935,0.907103470456941-0.905120435240871-0.905861530473061-0.9068360949221893-0.9072739707979417,1024.084-1024.084-1024.084-1024.084-1024.084
DWSHR_AECHO_2020,IAT+SIZE,header_False,GMM(full),tuning_False,0|0|2032,29,0.08817290235310793-0.017649334389716387-0.03592316550202668-0.06240420392714441-0.013560521882027388,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.0028448668820783497-0.0032407451537437735-0.0023096080776304007-0.00303637940203771-0.0028499165223911404,0.8796073842147681-0.8764647529295059-0.8770305040610082-0.8838718302436607-0.8710038982577969,7.427-7.427-7.427-7.427-7.427
DWSHR_AECHO_2020,IAT+SIZE,header_False,GMM(full),tuning_True,0|0|2032,29,0.22372736292891204-0.5208103065378964-0.49879945116117597-0.10718172183260322-0.3697074835654348,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.01097610435448587-0.013561642786953598-0.009759040435310453-0.006742824234534055-0.0077096355333924295,0.9130816386632769-0.9087513175026349-0.9093732562465126-0.9194986514973031-0.9095069440138879,98.014-98.014-98.014-70.142-70.142
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
