UNB3_345,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,3.06 +/- 0.21,0.00 +/- 0.00,2.19 +/- 0.09,0.55 +/- 0.10,353.21 +/- 0.17
MACCDC1,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,2.49 +/- 0.55,0.00 +/- 0.00,2.05 +/- 0.07,0.84 +/- 0.01,210.34 +/- 0.24
MACCDC1,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_False,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_False,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,KDE,tuning_False,20.28 +/- 1.53,nan +/- nan,0.09 +/- 0.00,0.91 +/- 0.02,0.47 +/- 0.00
MACCDC1,IAT+SIZE,header_False,KDE,tuning_True,68.71 +/- 15.13,nan +/- nan,0.10 +/- 0.00,0.94 +/- 0.03,0.47 +/- 0.00
MACCDC1,IAT+SIZE,header_False,GMM(full),tuning_False,4.59 +/- 0.35,nan +/- nan,52.13 +/- 1.45,1.17 +/- 0.04,36.91 +/- 0.04
MACCDC1,IAT+SIZE,header_False,GMM(full),tuning_True,2.46 +/- 0.54,nan +/- nan,6.24 +/- 0.22,1.13 +/- 0.02,2.99 +/- 0.00
MACCDC1,IAT+SIZE,header_False,GMM(diag),tuning_False,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,GMM(diag),tuning_True,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,KJL-GMM(full),tuning_False,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,KJL-GMM(diag),tuning_False,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_False,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_False,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_False,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_False,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_False,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_False,0,0,0,0,0
