MAWI1_2020|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.2280+/-0.0198,train_time: 0.00000+/-0.00000,test_time: 0.02327+/-0.00006), => aucs:0.21999999999999992-0.2166666666666667-0.22999999999999998-0.26499999999999996-0.20833333333333334, train_times:0-0-0-0-0, test_times:0.023250584292691202-0.023251208872534335-0.023288926237728446-0.023178925912361592-0.02335688907187432, n_comp: -, -, space_sizes: |model_spaces: 101.741-101.741-101.741-101.741-101.741,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.4150+/-0.0425,train_time: 0.00000+/-0.00000,test_time: 0.02323+/-0.00015), => aucs:0.4383333333333333-0.3533333333333334-0.375-0.45166666666666655-0.4566666666666667, train_times:0-0-0-0-0, test_times:0.02317436271114275-0.023093454970512538-0.023338341782800854-0.023065972595941276-0.023462782567366957, n_comp: -, -, space_sizes: |model_spaces: 101.753-101.753-101.753-101.753-101.753,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
MAWI1_2020|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
MAWI1_2020|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.1247+/-0.0046,train_time: 0.00000+/-0.00000,test_time: 0.03157+/-0.00009), => aucs:0.12333333333333325-0.13333333333333336-0.12000000000000002-0.125-0.12166666666666663, train_times:0-0-0-0-0, test_times:0.03154743212508038-0.03144360930891708-0.031537328229751437-0.0316126708406955-0.031718683859799056, n_comp: -, -, space_sizes: |model_spaces: 106.459-106.459-106.459-106.459-106.459,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.1540+/-0.0031,train_time: 0.00000+/-0.00000,test_time: 0.03153+/-0.00018), => aucs:0.1516666666666667-0.15666666666666668-0.1583333333333333-0.15333333333333332-0.15, train_times:0-0-0-0-0, test_times:0.031364451092667875-0.03160607159370556-0.031820970796979965-0.0313166156061925-0.03154396368190646, n_comp: -, -, space_sizes: |model_spaces: 106.471-106.471-106.471-106.471-106.471,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.8089+/-0.0265,train_time: 0.00000+/-0.00000,test_time: 0.29596+/-0.00051), => aucs:0.8018055555555555-0.8070166666666665-0.7643277777777778-0.8311055555555557-0.8400166666666667, train_times:0-0-0-0-0, test_times:0.29687117711873723-0.2954549335408956-0.2961221557576209-0.2957382041029632-0.2956215535639785, n_comp: -, -, space_sizes: |model_spaces: 521.418-521.418-521.626-522.042-521.21,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.7544+/-0.0823,train_time: 0.00000+/-0.00000,test_time: 0.03181+/-0.00013), => aucs:0.7727388888888888-0.7534611111111111-0.7799055555555554-0.8593833333333334-0.6065055555555556, train_times:0-0-0-0-0, test_times:0.032067515572998674-0.03173063468420878-0.031709834514185783-0.03181029540719464-0.031738715746905656, n_comp: -, -, space_sizes: |model_spaces: 144.909-145.053-144.957-145.005-145.005,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.8383+/-0.0353,train_time: 0.00000+/-0.00000,test_time: 0.03199+/-0.00032), => aucs:0.8659722222222224-0.8140055555555555-0.8770055555555555-0.8522722222222223-0.7820277777777778, train_times:0-0-0-0-0, test_times:0.0325033396249637-0.032175422110594806-0.0319382258807309-0.03170085304882377-0.03161284541711211, n_comp: -, -, space_sizes: |model_spaces: 144.921-144.969-144.969-144.969-144.969,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.4758+/-0.1695,train_time: 0.00000+/-0.00000,test_time: 0.01647+/-0.00018), => aucs:0.20854999999999996-0.6062388888888889-0.6064388888888889-0.3408611111111111-0.6170611111111111, train_times:0-0-0-0-0, test_times:0.016363692632876337-0.01631330029340461-0.016727832600008697-0.01629368818830699-0.016632734111044555, n_comp: -, -, space_sizes: |model_spaces: 24.941-24.941-24.941-24.941-24.941,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.6146+/-0.2349,train_time: 0.00000+/-0.00000,test_time: 0.01644+/-0.00016), => aucs:0.4567499999999999-0.8419277777777779-0.2295944444444445-0.7489611111111111-0.7960055555555557, train_times:0-0-0-0-0, test_times:0.01638280542101711-0.0163386189728044-0.01633526262594387-0.016754666448105127-0.016400212375447153, n_comp: -, -, space_sizes: |model_spaces: 24.953-24.953-24.953-24.953-24.953,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
MACCDC1|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
MACCDC1|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.8205+/-0.0545,train_time: 0.00000+/-0.00000,test_time: 0.01924+/-0.00044), => aucs:0.80245-0.8526277777777777-0.8744055555555554-0.8508944444444445-0.7221722222222221, train_times:0-0-0-0-0, test_times:0.018857169069815428-0.018858655961230396-0.01912911094259471-0.019318272150121628-0.02003889763727784, n_comp: -, -, space_sizes: |model_spaces: 26.184-26.184-26.435-26.435-26.931,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-25), iat_size(auc: 0.8473+/-0.0497,train_time: 0.00000+/-0.00000,test_time: 0.01926+/-0.00013), => aucs:0.7884277777777775-0.8191388888888887-0.8766388888888889-0.823161111111111-0.9289277777777777, train_times:0-0-0-0-0, test_times:0.019119082391262053-0.019136611197609454-0.01939219607738778-0.01919627657625824-0.01943706172751263, n_comp: -, -, space_sizes: |model_spaces: 26.447-26.447-26.695-26.447-26.695,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.9258+/-0.0017,train_time: 0.00000+/-0.00000,test_time: 0.30025+/-0.00204), => aucs:0.9267-0.9281-0.9261833333333336-0.9232111111111111-0.924561111111111, train_times:0-0-0-0-0, test_times:0.30336922492133456-0.2994837223086506-0.29945122678764163-0.29738457908388227-0.30155352983856576, n_comp: -, -, space_sizes: |model_spaces: 481.354-481.162-481.354-481.162-480.97,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.7499+/-0.0142,train_time: 0.00000+/-0.00000,test_time: 0.03208+/-0.00011), => aucs:0.7445-0.7383833333333333-0.7424555555555554-0.7777166666666667-0.7463444444444444, train_times:0-0-0-0-0, test_times:0.03221120600355789-0.03201969828223809-0.031992437317967415-0.03195421762065962-0.0322145523969084, n_comp: -, -, space_sizes: |model_spaces: 143.309-143.357-143.357-143.309-143.309,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.9146+/-0.0025,train_time: 0.00000+/-0.00000,test_time: 0.03192+/-0.00014), => aucs:0.9183555555555557-0.9129444444444446-0.9108888888888889-0.9153111111111112-0.9156222222222222, train_times:0-0-0-0-0, test_times:0.032029498275369404-0.0318432486616075-0.032149847375694665-0.03177478563738987-0.031805575569160284, n_comp: -, -, space_sizes: |model_spaces: 143.369-143.465-143.369-143.369-143.369,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.1656+/-0.0674,train_time: 0.00000+/-0.00000,test_time: 0.01630+/-0.00004), => aucs:0.1551-0.10171666666666665-0.14633333333333332-0.1295666666666667-0.2953444444444445, train_times:0-0-0-0-0, test_times:0.01627001097658649-0.016248921724036337-0.016298324044328183-0.016334072593599556-0.01633919000159949, n_comp: -, -, space_sizes: |model_spaces: 23.341-23.341-23.341-23.341-23.341,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6887+/-0.0016,train_time: 0.00000+/-0.00000,test_time: 0.01616+/-0.00015), => aucs:0.6908555555555557-0.6875944444444444-0.6863111111111111-0.6895888888888887-0.689088888888889, train_times:0-0-0-0-0, test_times:0.01615892177214846-0.016068586648907514-0.016432118974626063-0.016166552249342204-0.015982977929525077, n_comp: -, -, space_sizes: |model_spaces: 23.353-23.353-23.353-23.353-23.353,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
SFRIG1_2020|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
