Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-01 08:18:15')
***MACCDC1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.44436010532081127 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.907169103622437e-06, model_test_time: 0.44435119815170765
Total test time: 0.4759908539708704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.5551139414310455e-06, model_test_time: 0.47598429885692894
Total test time: 0.4156447958666831 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.166053935885429e-06, model_test_time: 0.41563862981274724
Total test time: 0.44330793735571206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 4.014745354652405e-05, model_test_time: 0.44326778990216553
Total test time: 0.4436286718118936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4997002482414246e-06, model_test_time: 0.44362217211164534
***4_th repeat
Total test time: 0.5077673320192844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.556045264005661e-06, model_test_time: 0.5077607759740204
Total test time: 0.49158111098222435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.887851774692535e-06, model_test_time: 0.49157122313044965
Total test time: 0.45789438392966986 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.834045052528381e-06, model_test_time: 0.45788754988461733
Total test time: 0.47960421605966985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.740004315972328e-06, model_test_time: 0.4795944760553539
Total test time: 0.43902572034858167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.629154086112976e-06, model_test_time: 0.43901909119449556
Total test time: 0.4920921993907541 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.759306415915489e-06, model_test_time: 0.4920854400843382
Total test time: 0.4902155711315572 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.704846888780594e-06, model_test_time: 0.49020586628466845
Total test time: 0.48287876113317907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.685056284070015e-06, model_test_time: 0.482869076076895
