Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-01 07:52:47')
***CTU1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.43861806229688227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.000286132097244e-06, model_test_time: 0.4386110620107502
Total test time: 0.46975376084446907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.536953151226044e-06, model_test_time: 0.46974722389131784
Total test time: 0.4353351148311049 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.277812644839287e-06, model_test_time: 0.43532883701846004
Total test time: 0.44202869408763945 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4079649746418e-06, model_test_time: 0.4420222861226648
Total test time: 0.49012045306153595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.536975994706154e-06, model_test_time: 0.49011091608554125
Total test time: 0.45467499480582774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.259892299771309e-06, model_test_time: 0.45466773491352797
Total test time: 0.47326659271493554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.05478373169899e-06, model_test_time: 0.47325753793120384
Total test time: 0.4400305696763098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.462680175900459e-06, model_test_time: 0.4400241069961339
Total test time: 0.47969890013337135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.851973012089729e-06, model_test_time: 0.47969204816035926
Total test time: 0.47871451172977686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.98074358701706e-06, model_test_time: 0.47870553098618984
speedup/out/models_res/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None/CTU1-OCSVM(rbf).dat
