Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-01 07:49:23')
***CTU1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.44409164204262197 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.369105100631714e-06, model_test_time: 0.44408227293752134
Total test time: 0.44538607890717685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.74070280790329e-06, model_test_time: 0.44537633820436895
Total test time: 0.4117806749418378 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.851049304008484e-06, model_test_time: 0.4117728238925338
Total test time: 0.43060030578635633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.33276829123497e-06, model_test_time: 0.4305929730180651
Total test time: 0.4437462058849633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.165843948721886e-06, model_test_time: 0.44373704004101455
Total test time: 0.40303556993603706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0500894859433174e-05, model_test_time: 0.40302506904117763
Total test time: 0.42963193799369037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.443145245313644e-06, model_test_time: 0.42962249484844506
Total test time: 0.4299283770378679 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.184920832514763e-06, model_test_time: 0.4299211921170354
Total test time: 0.4402075980324298 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0257819667458534e-05, model_test_time: 0.44019734021276236
Total test time: 0.41685323510318995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.797032594680786e-06, model_test_time: 0.41684543807059526
Total test time: 0.48692402988672256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.127892553806305e-06, model_test_time: 0.48691490199416876
***4_th repeat
Total test time: 0.4212063979357481 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.3318293541669846e-06, model_test_time: 0.42120006610639393
Total test time: 0.45090923900716007 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.982140570878983e-06, model_test_time: 0.4509002568665892
Total test time: 0.39904898940585554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.258254870772362e-06, model_test_time: 0.39904273115098476
Total test time: 0.4471011906862259 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.833594620227814e-06, model_test_time: 0.44709235709160566
Total test time: 0.45332677918486297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.334180504083633e-06, model_test_time: 0.4533174450043589
Total test time: 0.43997682514600456 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.03614205121994e-06, model_test_time: 0.43996978900395334
Total test time: 0.4271019953303039 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.51810909807682e-06, model_test_time: 0.42709347722120583
Total test time: 0.3853759712073952 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.5551139414310455e-06, model_test_time: 0.38536941609345376
Total test time: 0.44743383093737066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.925097063183784e-06, model_test_time: 0.4474249058403075
Total test time: 0.4917377047240734 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.12882387638092e-06, model_test_time: 0.49172857590019703
Total test time: 0.40374390850774944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.722542017698288e-06, model_test_time: 0.40373418596573174
Total test time: 0.44123192969709635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.721843525767326e-06, model_test_time: 0.4412222078535706
Total test time: 0.4161183990072459 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.722286343574524e-06, model_test_time: 0.4161116767209023
Total test time: 0.4904564949683845 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.315088391304016e-06, model_test_time: 0.4904471798799932
Total test time: 0.4302011497784406 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.351875633001328e-06, model_test_time: 0.4301917979028076
Total test time: 0.3849341308232397 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.814952939748764e-06, model_test_time: 0.38492731587029994
Total test time: 0.39914228511042893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.683892130851746e-06, model_test_time: 0.3991326012182981
Total test time: 0.48853309266269207 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.185867384076118e-06, model_test_time: 0.488523906795308
Total test time: 0.4029889819212258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.316019713878632e-06, model_test_time: 0.4029796659015119
Total test time: 0.4293784089386463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.425915777683258e-06, model_test_time: 0.42936898302286863
speedup/out/models_res/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None/CTU1-OCSVM(rbf).dat
