Namespace(dataset='SFRIG1_2020', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-01 08:42:31')
***SFRIG1_2020, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.47124053980223835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.5178686529397964e-06, model_test_time: 0.4712330219335854
Total test time: 0.4683278116863221 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.5928401201963425e-06, model_test_time: 0.4683202188462019
Total test time: 0.46951269335113466 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.112285286188126e-06, model_test_time: 0.46950458106584847
Total test time: 0.43891956890001893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.81472772359848e-06, model_test_time: 0.43891175417229533
Total test time: 0.49171919422224164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0870164260268211e-05, model_test_time: 0.49170832405798137
Total test time: 0.43858700268901885 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.481779903173447e-06, model_test_time: 0.43857952090911567
Total test time: 0.5128622595220804 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.75931403040886e-06, model_test_time: 0.51285450020805
Total test time: 0.4826015350408852 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.777024388313293e-06, model_test_time: 0.4825917580164969
Total test time: 0.5020832896698266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.426831871271133e-06, model_test_time: 0.5020758628379554
Total test time: 0.4662528980989009 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.925089448690414e-06, model_test_time: 0.4662449730094522
Total test time: 0.528769280994311 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0111136361956596e-05, model_test_time: 0.528759169857949
Total test time: 0.5080131331924349 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.68597237765789e-06, model_test_time: 0.5080054472200572
Total test time: 0.48505648015998304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0332092642784119e-05, model_test_time: 0.48504614806734025
speedup/out/models_res/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None/SFRIG1_2020-OCSVM(rbf).dat
